Code,Indicator Name,Long definition,Source
SP.POP.AG04.FE.IN,"Age population, age 04, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG04.MA.IN,"Age population, age 04, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG05.FE.IN,"Age population, age 05, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SP.POP.AG05.MA.IN,"Age population, age 05, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.",The United Nations Population Division’s World Population Prospects.
SL.TIM.DWRK.FE,"Time spent in domestic work, female (hours)","Time spent in domestic work, female refers to average hours per day that women ages 20-74 spent on housework, child and adult care, gardening and pet care, construction and repairs, shopping and services, and household management.",United Nations Economic Commission for Europe (UNECE) Statistical Database. Website: http://w3.unece.org/pxweb/DATABASE/STAT/Gender.stat.asp
SL.TIM.DWRK.MA,"Time spent in domestic work, male (hours)","Time spent in domestic work, male refers to average hours per day that men ages 20-74 spent on housework, child and adult care, gardening and pet care, construction and repairs, shopping and services, and household management.",United Nations Economic Commission for Europe (UNECE) Statistical Database. Website: http://w3.unece.org/pxweb/DATABASE/STAT/Gender.stat.asp
SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total),"Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
WP14924_8.3,"Borrowed any money in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.2,"Borrowed any money in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.3,"Borrowed for education or school fees, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.2,"Borrowed for education or school fees, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.3,"Borrowed for health or medical purposes, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.2,"Borrowed for health or medical purposes, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_06.3,"Borrowed from a financial institution, female (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_06.2,"Borrowed from a financial institution, male (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_09.3,"Borrowed from a private informal lender, female (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a private informal lender in the past 12 months (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_09.2,"Borrowed from a private informal lender, male (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a private informal lender in the past 12 months (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11652.3,"Borrowed from a store by buying on credit, female (% age 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14918.3,"Borrowed from a store by buying on credit, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a store by using installment credit or buying on credit (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11652.2,"Borrowed from a store by buying on credit, male (% age 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14918.2,"Borrowed from a store by buying on credit, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a store by using installment credit or buying on credit (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11654.3,"Borrowed from an employer, female (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11654.2,"Borrowed from an employer, male (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP_time_08.3,"Borrowed from family or friends, female (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from family, relatives, or friends in the past 12 months (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_08.2,"Borrowed from family or friends, male (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from family, relatives, or friends in the past 12 months (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14923.3,"Borrowed to start, operate, or expand a farm or business, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.2,"Borrowed to start, operate, or expand a farm or business, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
SH.DTH.COMM.1534.FE.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-34, female (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.COMM.1534.MA.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-34, male (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.COMM.3559.FE.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 35-59, female (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.COMM.3559.MA.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 35-59, male (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.INJR.1534.FE.ZS,"Cause of death, by injury, ages 15-34, female (% relevant age)",Cause of death refers to the share of all deaths for the relevant age by underlying causes. Injuries include unintentional and intentional injuries.,Derived based on the data from WHO's World Health Statistics.
SH.DTH.INJR.1534.MA.ZS,"Cause of death, by injury, ages 15-34, male (% relevant age)",Cause of death refers to the share of all deaths for the relevant age by underlying causes. Injuries include unintentional and intentional injuries.,Derived based on the data from WHO's World Health Statistics.
SH.DTH.INJR.3559.FE.ZS,"Cause of death, by injury, ages 35-59, female (% relevant age)",Cause of death refers to the share of all deaths for the relevant age by underlying causes. Injuries include unintentional and intentional injuries.,Derived based on the data from WHO's World Health Statistics.
SH.DTH.INJR.3559.MA.ZS,"Cause of death, by injury, ages 35-59, male (% relevant age)",Cause of death refers to the share of all deaths for the relevant age by underlying causes. Injuries include unintentional and intentional injuries.,Derived based on the data from WHO's World Health Statistics.
SH.DTH.NCOM.1534.FE.ZS,"Cause of death, by non-communicable diseases, ages 15-34, female (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Non-communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.NCOM.1534.MA.ZS,"Cause of death, by non-communicable diseases, ages 15-34, male (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Non-communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.NCOM.3559.FE.ZS,"Cause of death, by non-communicable diseases, ages 35-59, female (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Non-communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.",Derived based on the data from WHO's World Health Statistics.
SH.DTH.NCOM.3559.MA.ZS,"Cause of death, by non-communicable diseases, ages 35-59, male (% relevant age)","Cause of death refers to the share of all deaths for the relevant age by underlying causes. Non-communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.",Derived based on the data from WHO's World Health Statistics.
SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank."
SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank."
SE.PRM.UNER.FE,"Children out of school, primary, female",Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.UNER.MA,"Children out of school, primary, male",Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
WP14926.4.3,"Coming up with emergency funds: not at all possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.2,"Coming up with emergency funds: not at all possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.3,"Coming up with emergency funds: not very possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.2,"Coming up with emergency funds: not very possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.3,"Coming up with emergency funds: somewhat possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.2,"Coming up with emergency funds: somewhat possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.3,"Coming up with emergency funds: very possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.2,"Coming up with emergency funds: very possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
SP.DYN.CONU.ZS,"Contraceptive prevalence, any methods (% of women ages 15-49)","Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, any form of contraception. It is usually measured for women ages 15-49 who are married or in union.","UNICEF's State of the World's Children and Childinfo, United Nations Population Division's World Contraceptive Use, household surveys including Demographic and Health Surveys and Multiple Indicator Cluster Surveys."
SP.DYN.CONM.ZS,"Contraceptive prevalence, modern methods (% of women ages 15-49)","Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, at least one modern method of contraception. It is usually measured for women ages 15-49 who are married or in union. Modern methods of contraception include female and male sterilization, oral hormonal pills, the intra-uterine device (IUD), the male condom, injectables, the implant (including Norplant), vaginal barrier methods, the female condom and emergency contraception.","Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division."
SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of females employed)",Contributing family workers are those workers who hold "self-employment jobs" as own-account workers in a market-oriented establishment operated by a related person living in the same household.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of males employed)",Contributing family workers are those workers who hold "self-employment jobs" as own-account workers in a market-oriented establishment operated by a related person living in the same household.,"International Labour Organization, Key Indicators of the Labour Market database."
WP14892.3,"Credit card used in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.2,"Credit card used in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.3,"Credit card, female (% age 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_03.2,"Credit card, male (% age 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
WP14889.3,"Debit card in own name, female (% age 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.2,"Debit card in own name, male (% age 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14890.3,"Debit card used in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report using their own debit card directly to make a purchase in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14890.2,"Debit card used in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report using their own debit card directly to make a purchase in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_02.3,"Debit card, female (% age 15+) [ts]","Denotes the percentage of respondents who report having a debit card (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_02.2,"Debit card, male (% age 15+) [ts]","Denotes the percentage of respondents who report having a debit card (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
SG.DMK.PRCH.HB.ZS,Decision maker about Major household purchases: mainly husband (%),Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the husband,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.WF.ZS,Decision maker about Major household purchases: mainly wife (%),Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.OT.ZS,Decision maker about Major household purchases: other (%),Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is recorded as 'other',Demographic and Health Surveys (DHS)
SG.DMK.PRCH.SE.ZS,Decision maker about Major household purchases: someone else (%),Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly someone else,Demographic and Health Surveys (DHS)
SG.DMK.PRCH.WH.ZS,Decision maker about Major household purchases: wife and husband jointly (%),Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent and her husband,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.HB.ZS,Decision maker about Own health care: mainly husband (%),Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the husband,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.WF.ZS,Decision maker about Own health care: mainly wife  (%),Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.OT.ZS,Decision maker about Own health care: other (%),Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is recorded as 'other',Demographic and Health Surveys (DHS)
SG.DMK.HLTH.SE.ZS,Decision maker about Own health care: someone else (%),Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly someone else,Demographic and Health Surveys (DHS)
SG.DMK.HLTH.WH.ZS,Decision maker about Own health care: wife and husband jointly (%),Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent and her husband,Demographic and Health Surveys (DHS)
SG.DMK.VISI.HB.ZS,Decision maker about Visits to her family or relatives: mainly husband (%),Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the husband,Demographic and Health Surveys (DHS)
SG.DMK.VISI.WF.ZS,Decision maker about Visits to her family or relatives: mainly wife (%),Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent,Demographic and Health Surveys (DHS)
SG.DMK.VISI.OT.ZS,Decision maker about Visits to her family or relatives: other (%),Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is recorded as 'other',Demographic and Health Surveys (DHS)
SG.DMK.VISI.SE.ZS,Decision maker about Visits to her family or relatives: someone else (%),Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly someone else,Demographic and Health Surveys (DHS)
SG.DMK.VISI.WH.ZS,Decision maker about Visits to her family or relatives: wife and husband jointly (%),Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent and her husband,Demographic and Health Surveys (DHS)
SH.FPL.SATI.ZS,Demand for family planning satisfied by any methods (% of married women with demand for family planning),Demand for family planning satisfied by any methods refers to the percentage of married women ages 15-49 whose need for family planning is satisfied.,Demographic and Health Surveys.
SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Demand for family planning satisfied by modern methods refers to the percentage of married women ages 15-49 years whose need for family planning is satisfied with modern methods.,Demographic and Health Surveys (DHS).
SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least competed lower secondary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed lower secondary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least competed lower secondary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed lower secondary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.LO.ZS,"Educational attainment, at least competed lower secondary, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed lower secondary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least competed post-secondary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least competed post-secondary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.PO.ZS,"Educational attainment, at least competed post-secondary, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least competed upper secondary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed upper secondary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least competed upper secondary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed upper secondary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least competed upper secondary, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed upper secondary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed primary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed primary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed primary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.BA.FE.ZS,"Educational attainment, competed at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
